;mass A;;
t;x;y;
0,000000E0;−7,073354E−4;3,024264E−1
3,334936E−2;7,465110E−3;3,009567E−1
6,669872E−2;1,578600E−2;3,000618E−1
1,000481E−1;2,513651E−2;2,989251E−1
1,333974E−1;3,566951E−2;2,972544E−1
1,667468E−1;4,739373E−2;2,955672E−1
2,000962E−1;5,952844E−2;2,935987E−1
2,334455E−1;7,262628E−2;2,912514E−1
2,667949E−1;8,704738E−2;2,883295E−1
3,001442E−1;1,028997E−1;2,850227E−1
3,334936E−1;1,201700E−1;2,808683E−1
3,668429E−1;1,385417E−1;2,758031E−1
4,001923E−1;1,583565E−1;2,695980E−1
4,335417E−1;1,819481E−1;2,607222E−1
4,668910E−1;2,051927E−1;2,503167E−1
5,002404E−1;2,313075E−1;2,386199E−1
5,335897E−1;2,601426E−1;2,245967E−1
5,669391E−1;2,918156E−1;2,096256E−1
6,002885E−1;3,267394E−1;1,942066E−1
6,336378E−1;3,661880E−1;1,761689E−1
6,669872E−1;4,065430E−1;1,658399E−1
7,003365E−1;4,508074E−1;1,585150E−1
7,336859E−1;4,959425E−1;1,558984E−1
7,670353E−1;5,403016E−1;1,571335E−1
8,003846E−1;5,843297E−1;1,606157E−1
8,337340E−1;6,279825E−1;1,658683E−1
8,670833E−1;6,689673E−1;1,720563E−1
9,004327E−1;7,091448E−1;1,786268E−1
9,337821E−1;7,473962E−1;1,891960E−1
9,671314E−1;7,829497E−1;1,922628E−1
1,000481E0;8,195184E−1;1,932989E−1
1,033830E0;8,557933E−1;1,912987E−1
1,067179E0;8,924657E−1;1,863595E−1
1,100529E0;9,301174E−1;1,785140E−1
1,133878E0;9,682939E−1;1,668073E−1
1,167228E0;1,007745E0;1,502504E−1
1,200577E0;1,049346E0;1,305061E−1
1,233926E0;1,094500E0;1,096311E−1
1,267276E0;1,119087E0;6,024640E−2
1,300625E0;1,196829E0;7,960506E−2
1,333974E0;1,252317E0;7,432048E−2
1,367324E0;1,308394E0;7,158314E−2
1,400673E0;1,373710E0;6,675722E−2
1,434022E0;1,416860E0;6,519255E−2
