;mass A;;
t;x;y;
0,000000E0;−1,329325E−2;3,250337E−1
3,333333E−2;−7,794979E−3;3,242730E−1
6,666667E−2;−1,732659E−3;3,235245E−1
1,000000E−1;5,080399E−3;3,225789E−1
1,333333E−1;1,268229E−2;3,215211E−1
1,666667E−1;2,132382E−2;3,202664E−1
2,000000E−1;3,106430E−2;3,188089E−1
2,333333E−1;4,177919E−2;3,171129E−1
2,666667E−1;5,328239E−2;3,152316E−1
3,000000E−1;6,577186E−2;3,129051E−1
3,333333E−1;7,938350E−2;3,102386E−1
3,666667E−1;9,422129E−2;3,070266E−1
4,000000E−1;1,107457E−1;3,030457E−1
4,333333E−1;1,284516E−1;2,981213E−1
4,666667E−1;1,476216E−1;2,925340E−1
5,000000E−1;1,712813E−1;2,831829E−1
5,333333E−1;1,941105E−1;2,731192E−1
5,666667E−1;2,198698E−1;2,613001E−1
6,000000E−1;2,477694E−1;2,481183E−1
6,333333E−1;2,789683E−1;2,331559E−1
6,666667E−1;3,132113E−1;2,175030E−1
7,000000E−1;3,500555E−1;2,010849E−1
7,333333E−1;3,905666E−1;1,881321E−1
7,666667E−1;4,340169E−1;1,794451E−1
8,000000E−1;4,792455E−1;1,756126E−1
8,333333E−1;5,243470E−1;1,756918E−1
8,666667E−1;5,687497E−1;1,787209E−1
9,000000E−1;6,121229E−1;1,838676E−1
9,333333E−1;6,538964E−1;1,900310E−1
9,666667E−1;6,943738E−1;1,965640E−1
1,000000E0;7,328849E−1;2,032118E−1
1,033333E0;7,698639E−1;2,080225E−1
1,066667E0;8,062665E−1;2,098128E−1
1,100000E0;8,426667E−1;2,084458E−1
1,133333E0;8,795147E−1;2,044341E−1
1,166667E0;9,181159E−1;1,974027E−1
1,200000E0;9,577203E−1;1,870763E−1
1,233333E0;9,956889E−1;1,719272E−1
1,266667E0;1,037513E0;1,528685E−1
1,300000E0;1,082082E0;1,321518E−1
1,333333E0;1,124232E0;1,120814E−1
1,366667E0;1,188299E0;9,942145E−2
1,400000E0;1,244276E0;9,368644E−2
1,433333E0;1,298709E0;9,089250E−2
1,466667E0;1,362874E0;8,653102E−2
