;mass A;;
t;x;y;
0,000000E0;−3,574541E−4;3,101966E−1
3,337209E−2;5,401922E−3;3,094504E−1
6,674419E−2;1,197784E−2;3,086721E−1
1,001163E−1;1,896481E−2;3,075734E−1
1,334884E−1;2,718282E−2;3,063947E−1
1,668605E−1;3,645803E−2;3,050230E−1
2,002326E−1;4,668523E−2;3,034888E−1
2,336047E−1;5,780082E−2;3,016578E−1
2,669767E−1;6,996178E−2;2,993887E−1
3,003488E−1;8,313212E−2;2,967872E−1
3,337209E−1;9,748886E−2;2,936363E−1
3,670930E−1;1,132871E−1;2,900052E−1
4,004651E−1;1,306945E−1;2,854305E−1
4,338372E−1;1,495993E−1;2,798475E−1
4,672093E−1;1,707787E−1;2,724043E−1
5,005814E−1;1,936741E−1;2,626017E−1
5,339535E−1;2,184144E−1;2,521526E−1
5,673256E−1;2,455778E−1;2,397989E−1
6,006977E−1;2,761167E−1;2,253173E−1
6,340698E−1;3,095056E−1;2,099089E−1
6,674419E−1;3,457084E−1;1,944787E−1
7,008140E−1;3,872108E−1;1,776671E−1
7,341860E−1;4,302929E−1;1,681979E−1
7,675581E−1;4,753293E−1;1,630008E−1
8,009302E−1;5,209993E−1;1,623782E−1
8,343023E−1;5,673658E−1;1,657315E−1
8,676744E−1;6,097006E−1;1,691741E−1
9,010465E−1;6,525265E−1;1,748742E−1
9,344186E−1;6,930164E−1;1,813386E−1
9,677907E−1;7,318702E−1;1,878369E−1
1,001163E0;7,698907E−1;1,933794E−1
1,034535E0;8,074170E−1;1,959667E−1
1,067907E0;8,441764E−1;1,955333E−1
1,101279E0;8,809954E−1;1,921669E−1
1,134651E0;9,172787E−1;1,863234E−1
1,168023E0;9,571734E−1;1,810917E−1
1,201395E0;9,968193E−1;1,631629E−1
1,234767E0;1,037530E0;1,450019E−1
1,268140E0;1,080490E0;1,243477E−1
1,301512E0;1,130263E0;1,024743E−1
1,334884E0;1,179547E0;8,954622E−2
1,368256E0;1,234203E0;8,195295E−2
1,401628E0;1,288300E0;7,851720E−2
1,435000E0;1,341334E0;4,589929E−2
